<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20200608,000000,204.9500000,206.5000000,202.9700000,204.9100000,40.076.610
GAZP,D,20200609,000000,205.4100000,206.1000000,201.5700000,204.8400000,35.361.030
GAZP,D,20200610,000000,204.8800000,205.2700000,200.5300000,201.7500000,41.510.100
GAZP,D,20200611,000000,200.1900000,200.1900000,195.1500000,196.7400000,48.834.830
GAZP,D,20200615,000000,193.8500000,196.1500000,191.0000000,194.2000000,54.158.910
GAZP,D,20200616,000000,196.0600000,199.5900000,195.2000000,196.5900000,43.322.650
GAZP,D,20200617,000000,197.7200000,199.0800000,195.2100000,195.8600000,34.389.160
GAZP,D,20200618,000000,195.4400000,195.5700000,191.8500000,193.0000000,45.807.200
GAZP,D,20200619,000000,194.1700000,196.0700000,193.8200000,195.8100000,45.158.120
GAZP,D,20200622,000000,195.3500000,195.3500000,192.6200000,194.3000000,36.763.320
GAZP,D,20200623,000000,194.7800000,196.3200000,194.0000000,194.8300000,33.800.940
GAZP,D,20200625,000000,191.8000000,192.4800000,190.5500000,192.2500000,48.747.730
GAZP,D,20200626,000000,192.8000000,195.6900000,190.5100000,193.0000000,60.289.440
GAZP,D,20200629,000000,192.6700000,198.1000000,192.5800000,197.9400000,45.797.120
GAZP,D,20200630,000000,197.9000000,198.4800000,193.2400000,194.3100000,52.228.420
GAZP,D,20200702,000000,195.3100000,195.8400000,194.4000000,195.2800000,34.114.100
GAZP,D,20200703,000000,195.6500000,197.4800000,194.7700000,197.2000000,26.423.160
GAZP,D,20200706,000000,199.2100000,201.7500000,198.5300000,199.9900000,46.417.970
GAZP,D,20200707,000000,199.7000000,199.9400000,197.7500000,197.9600000,35.182.460
GAZP,D,20200708,000000,198.0000000,201.1900000,197.5500000,201.1700000,30.730.070
GAZP,D,20200709,000000,201.4800000,202.0000000,198.4000000,199.4400000,40.355.340
GAZP,D,20200710,000000,198.2500000,201.7000000,197.2200000,200.9400000,39.028.520
GAZP,D,20200713,000000,201.6000000,202.3300000,195.5000000,195.7000000,62.999.870
GAZP,D,20200714,000000,195.0900000,196.6500000,192.4800000,193.6000000,83.060.710
GAZP,D,20200715,000000,180.6000000,184.2700000,179.8000000,182.2600000,73.463.320
GAZP,D,20200716,000000,181.2000000,183.8000000,181.0700000,183.3200000,29.409.000
GAZP,D,20200717,000000,183.8000000,184.9300000,182.8700000,184.6500000,25.471.860
GAZP,D,20200720,000000,184.6700000,188.4100000,183.8800000,188.3600000,30.010.590
GAZP,D,20200721,000000,188.9900000,189.7700000,186.2500000,186.7800000,44.388.320
GAZP,D,20200722,000000,187.0300000,188.5900000,186.0700000,187.1500000,22.767.680
GAZP,D,20200723,000000,187.5000000,188.3000000,184.4000000,184.6900000,29.769.530
GAZP,D,20200724,000000,184.8300000,186.4500000,184.1200000,185.4500000,30.313.190
GAZP,D,20200727,000000,185.6000000,185.9200000,184.2000000,185.0300000,22.734.510
GAZP,D,20200728,000000,185.1300000,185.4600000,183.6000000,184.3000000,26.633.740
GAZP,D,20200729,000000,184.5000000,185.3500000,183.4200000,184.6900000,27.882.380
GAZP,D,20200730,000000,184.4400000,184.7300000,180.9100000,182.5200000,34.011.750
